Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
05/10/2025,10306472089,32181933,0.07,0.05,0.05,0.05,0.04,0.05,0.04,0.03,0.05,0.03,0.05,0.03,0.04,0.03,0.07,0.05,0.03,0.00,0.01,0.02,0.00,0.02,0.01,0.01,0.00,0.00,0.51,0.00,0.53,0.02,0.01,0.01,0.05,0.05,0.05,0.06,0.06,0.06,0.08,0.11,0.08,0.06,0.09,0.06,0.07,0.05,0.06,0.06
06/10/2025,10306472089,32181933,0.04,0.05,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.03,0.05,0.03,0.05,0.04,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.03,0.07,0.05,0.37,0.08,0.07,0.10,0.07,0.06,0.05,0.06
07/10/2025,10306472089,32181933,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.04,0.04,0.05,0.05,0.07,0.05,0.03,0.08,0.03,0.03,0.03,0.11,0.24,0.05,0.03,0.03,0.00,0.16,1.29,0.99,0.25,0.68,0.33,0.68,0.46,0.24,0.23,0.27,0.09,0.09,0.08,0.07,0.04
08/10/2025,10306472089,32181933,0.06,0.06,0.04,0.03,0.06,0.06,0.05,0.03,0.03,0.04,0.03,0.04,0.03,0.06,0.03,0.05,0.04,0.02,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.32,0.64,0.05,0.49,0.02,0.03,0.07,0.09,0.07,0.08,0.10,1.03,0.89,0.11,0.08,0.08,0.48,1.35,0.88,0.23,0.06
09/10/2025,10306472089,32181933,0.22,0.21,0.20,0.21,0.20,0.21,0.23,0.21,0.21,0.22,0.19,0.21,0.20,0.19,0.22,0.10,0.08,0.06,0.04,0.05,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.04,0.17,0.03,0.15,0.09,0.05,0.05,0.02,0.12,0.12,0.13,0.65,0.11,0.99,0.06,0.07,0.07,0.04,0.05,0.06,0.20
10/10/2025,10306472089,32181933,0.07,0.05,0.06,0.04,0.05,0.05,0.04,0.05,0.03,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.06,0.07,0.05,0.03,0.03,0.05,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.13,0.45,0.09,0.06,0.08,0.09,0.07,0.05,0.04,0.04
11/10/2025,10306472089,32181933,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.03,0.04,0.16,0.58,0.16,0.07,0.06,1.31,1.80,0.59,0.56,0.15,0.17,0.11,0.14,0.66,0.63,0.05,0.08,1.33,0.86,0.20,0.57,1.25,0.28,0.13,0.14,0.10,0.21,0.10,0.10,0.08,0.04
12/10/2025,10306472089,32181933,0.06,0.05,0.05,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.00,0.01,0.00,0.20,0.00,0.00,0.24,1.27,0.49,0.06,0.04,0.01,0.02,0.32,0.35,0.15,0.72,0.07,0.10,0.06,0.72,0.12,0.04,0.85,0.50,0.09,0.07,0.05,0.06,0.07
13/10/2025,10306472089,32181933,0.04,0.05,0.03,0.04,0.05,0.03,0.05,0.04,0.03,0.05,0.04,0.04,0.05,0.05,0.07,0.06,0.10,0.07,0.10,0.04,0.04,0.07,0.07,0.07,0.04,0.03,0.01,0.12,0.01,0.03,0.02,0.02,0.03,0.03,0.05,0.04,0.05,0.05,0.16,0.20,0.10,0.09,0.06,0.07,0.07,0.14,0.08,0.04
14/10/2025,10306472089,32181933,0.09,0.05,0.04,0.05,0.04,0.05,0.05,0.03,0.05,0.04,0.04,0.05,0.07,0.08,0.09,0.07,0.16,0.08,0.05,0.04,0.05,0.04,0.05,0.03,0.05,0.04,0.17,0.03,0.04,0.06,0.04,0.05,0.05,0.06,0.06,0.07,0.09,0.08,0.09,0.06,0.81,0.08,0.10,0.64,0.10,0.63,0.06,0.64
