Average electricity price to households (Euro cent/kWh)	Ireland	Euro Area	EU-27
S2 2007	18.21	16.03	15.67
S1 2008	16.6	16.67	16.33
S2 2008	19.34	17.48	17.11
S1 2009	19.31	17.87	17.17
S2 2009	17.72	18	17.38
S1 2010	17.05	18.28	17.79
S2 2010	17.88	18.73	18.26
S1 2011	17.23	19.5	19.03
S2 2011	19.89	20	19.36
S1 2012	20.4	20.23	19.57
S2 2012	21.84	21.14	20.42
S1 2013	21.64	21.71	20.88
S2 2013	23.11	22.06	21.09
2014S1	22.97	22.23	21.07
2014S2	24.38	22.71	21.41
2015S1	23	22.72	21.4
2015S2	23.6	22.84	21.51
2016S1	22.09	22.33	21.08
2016S2	22.64	22.46	21.25
2017S1	21.65	22.61	21.36
2017S2	22.94	22.51	21.35
2018S1	21.84	22.69	21.5
2018S2	24.36	23.31	22.11
2019S1	22.98	23.7	22.38
2019S2	24.56	23.46	22.23
2020S1	23.03	23.4	22.04
2020S2	24.95	23.35	22.07
2021S1	23.96	23.71	22.44
2021S2	28.23	25.53	24
2022S1	22.8	26.6	24.9
2022S2	31.7	29.2	27.6
2023S1	27.4	31.3	29.2
2023S2	37.5	31.1	29.1
2024S1	25.7	31.7	29.7
2024S2	30.6	31.4	29.4
2025S1	31.2	31.4	29.5
2025S2	38.4	31.0	29.4
